heldout_subject,lda_features,n_train,n_test,train_classes,test_classes,lda_acc,lda_bal_acc,lda_f1_macro,confusion_labels,confusion_matrix,classification_report
S12,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.4,0.39999999999999997,0.28654970760233917,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [20, 0, 5]]","{""L0"": {""precision"": 0.35714285714285715, ""recall"": 1.0, ""f1-score"": 0.5263157894736842, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 1.0, ""recall"": 0.2, ""f1-score"": 0.3333333333333333, ""support"": 25.0}, ""accuracy"": 0.4, ""macro avg"": {""precision"": 0.4523809523809524, ""recall"": 0.39999999999999997, ""f1-score"": 0.28654970760233917, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.4523809523809524, ""recall"": 0.4, ""f1-score"": 0.28654970760233917, ""support"": 75.0}}"
S13,"[""rri_norm"", ""hr_norm""]",1264,73,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.2054794520547945,0.20444444444444446,0.20430785395324402,"[""L0"", ""L2"", ""L3""]","[[7, 8, 9], [10, 1, 13], [4, 14, 7]]","{""L0"": {""precision"": 0.3333333333333333, ""recall"": 0.2916666666666667, ""f1-score"": 0.3111111111111111, ""support"": 24.0}, ""L2"": {""precision"": 0.043478260869565216, ""recall"": 0.041666666666666664, ""f1-score"": 0.0425531914893617, ""support"": 24.0}, ""L3"": {""precision"": 0.2413793103448276, ""recall"": 0.28, ""f1-score"": 0.25925925925925924, ""support"": 25.0}, ""accuracy"": 0.2054794520547945, ""macro avg"": {""precision"": 0.20606363484924206, ""recall"": 0.20444444444444446, ""f1-score"": 0.20430785395324402, ""support"": 73.0}, ""weighted avg"": {""precision"": 0.20654741122589387, ""recall"": 0.2054794520547945, ""f1-score"": 0.20506061293003874, ""support"": 73.0}}"
S14,"[""rri_norm"", ""hr_norm""]",1263,74,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.40540540540540543,0.4000000000000001,0.32653061224489793,"[""L0"", ""L2"", ""L3""]","[[20, 0, 5], [15, 10, 0], [10, 14, 0]]","{""L0"": {""precision"": 0.4444444444444444, ""recall"": 0.8, ""f1-score"": 0.5714285714285714, ""support"": 25.0}, ""L2"": {""precision"": 0.4166666666666667, ""recall"": 0.4, ""f1-score"": 0.40816326530612246, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 24.0}, ""accuracy"": 0.40540540540540543, ""macro avg"": {""precision"": 0.28703703703703703, ""recall"": 0.4000000000000001, ""f1-score"": 0.32653061224489793, ""support"": 74.0}, ""weighted avg"": {""precision"": 0.2909159159159159, ""recall"": 0.40540540540540543, ""f1-score"": 0.3309431880860452, ""support"": 74.0}}"
S15,"[""rri_norm"", ""hr_norm""]",1266,71,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.6056338028169014,0.5733333333333334,0.4757693016399484,"[""L0"", ""L2"", ""L3""]","[[20, 0, 5], [7, 0, 14], [2, 0, 23]]","{""L0"": {""precision"": 0.6896551724137931, ""recall"": 0.8, ""f1-score"": 0.7407407407407407, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 21.0}, ""L3"": {""precision"": 0.5476190476190477, ""recall"": 0.92, ""f1-score"": 0.6865671641791045, ""support"": 25.0}, ""accuracy"": 0.6056338028169014, ""macro avg"": {""precision"": 0.4124247400109469, ""recall"": 0.5733333333333334, ""f1-score"": 0.4757693016399484, ""support"": 71.0}, ""weighted avg"": {""precision"": 0.435659936631282, ""recall"": 0.6056338028169014, ""f1-score"": 0.502573205957692, ""support"": 71.0}}"
S16,"[""rri_norm"", ""hr_norm""]",1263,74,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.33783783783783783,0.3333333333333333,0.16835016835016836,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [24, 0, 0]]","{""L0"": {""precision"": 0.33783783783783783, ""recall"": 1.0, ""f1-score"": 0.5050505050505051, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 24.0}, ""accuracy"": 0.33783783783783783, ""macro avg"": {""precision"": 0.11261261261261261, ""recall"": 0.3333333333333333, ""f1-score"": 0.16835016835016836, ""support"": 74.0}, ""weighted avg"": {""precision"": 0.1141344046749452, ""recall"": 0.33783783783783783, ""f1-score"": 0.17062517062517063, ""support"": 74.0}}"
S17,"[""rri_norm"", ""hr_norm""]",1272,65,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3230769230769231,0.27999999999999997,0.21094264996704024,"[""L0"", ""L2"", ""L3""]","[[18, 0, 7], [9, 0, 6], [22, 0, 3]]","{""L0"": {""precision"": 0.3673469387755102, ""recall"": 0.72, ""f1-score"": 0.4864864864864865, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 15.0}, ""L3"": {""precision"": 0.1875, ""recall"": 0.12, ""f1-score"": 0.14634146341463414, ""support"": 25.0}, ""accuracy"": 0.3230769230769231, ""macro avg"": {""precision"": 0.18494897959183673, ""recall"": 0.27999999999999997, ""f1-score"": 0.21094264996704024, ""support"": 65.0}, ""weighted avg"": {""precision"": 0.21340266875981162, ""recall"": 0.3230769230769231, ""f1-score"": 0.24339536534658487, ""support"": 65.0}}"
S18,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3333333333333333,0.3333333333333333,0.16666666666666666,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [25, 0, 0]]","{""L0"": {""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1-score"": 0.5, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.11111111111111109, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}}"
S19,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3333333333333333,0.3333333333333333,0.16666666666666666,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [25, 0, 0]]","{""L0"": {""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1-score"": 0.5, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.11111111111111109, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}}"
S20,"[""rri_norm"", ""hr_norm""]",1322,15,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3333333333333333,0.40740740740740744,0.3333333333333333,"[""L0"", ""L2"", ""L3""]","[[2, 1, 0], [1, 1, 1], [6, 1, 2]]","{""L0"": {""precision"": 0.2222222222222222, ""recall"": 0.6666666666666666, ""f1-score"": 0.3333333333333333, ""support"": 3.0}, ""L2"": {""precision"": 0.3333333333333333, ""recall"": 0.3333333333333333, ""f1-score"": 0.3333333333333333, ""support"": 3.0}, ""L3"": {""precision"": 0.6666666666666666, ""recall"": 0.2222222222222222, ""f1-score"": 0.3333333333333333, ""support"": 9.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.40740740740740744, ""recall"": 0.40740740740740744, ""f1-score"": 0.3333333333333333, ""support"": 15.0}, ""weighted avg"": {""precision"": 0.5111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.3333333333333333, ""support"": 15.0}}"
S21,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.2,0.20000000000000004,0.15016048180605143,"[""L0"", ""L2"", ""L3""]","[[13, 0, 12], [17, 1, 7], [24, 0, 1]]","{""L0"": {""precision"": 0.24074074074074073, ""recall"": 0.52, ""f1-score"": 0.3291139240506329, ""support"": 25.0}, ""L2"": {""precision"": 1.0, ""recall"": 0.04, ""f1-score"": 0.07692307692307693, ""support"": 25.0}, ""L3"": {""precision"": 0.05, ""recall"": 0.04, ""f1-score"": 0.044444444444444446, ""support"": 25.0}, ""accuracy"": 0.2, ""macro avg"": {""precision"": 0.4302469135802469, ""recall"": 0.20000000000000004, ""f1-score"": 0.15016048180605143, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.4302469135802469, ""recall"": 0.2, ""f1-score"": 0.1501604818060514, ""support"": 75.0}}"
S22,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.41333333333333333,0.41333333333333333,0.3063372226035232,"[""L0"", ""L2"", ""L3""]","[[6, 0, 19], [0, 0, 25], [0, 0, 25]]","{""L0"": {""precision"": 1.0, ""recall"": 0.24, ""f1-score"": 0.3870967741935484, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.36231884057971014, ""recall"": 1.0, ""f1-score"": 0.5319148936170213, ""support"": 25.0}, ""accuracy"": 0.41333333333333333, ""macro avg"": {""precision"": 0.45410628019323673, ""recall"": 0.41333333333333333, ""f1-score"": 0.3063372226035232, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.4541062801932367, ""recall"": 0.41333333333333333, ""f1-score"": 0.3063372226035232, ""support"": 75.0}}"
S23,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.4,0.39999999999999997,0.28216952129995604,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [22, 0, 3], [20, 0, 5]]","{""L0"": {""precision"": 0.373134328358209, ""recall"": 1.0, ""f1-score"": 0.5434782608695652, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.625, ""recall"": 0.2, ""f1-score"": 0.30303030303030304, ""support"": 25.0}, ""accuracy"": 0.4, ""macro avg"": {""precision"": 0.3327114427860696, ""recall"": 0.39999999999999997, ""f1-score"": 0.28216952129995604, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.3327114427860696, ""recall"": 0.4, ""f1-score"": 0.28216952129995604, ""support"": 75.0}}"
S24,"[""rri_norm"", ""hr_norm""]",1272,65,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.46153846153846156,0.4405680868838764,0.4271284271284271,"[""L0"", ""L2"", ""L3""]","[[11, 10, 0], [9, 16, 0], [1, 15, 3]]","{""L0"": {""precision"": 0.5238095238095238, ""recall"": 0.5238095238095238, ""f1-score"": 0.5238095238095238, ""support"": 21.0}, ""L2"": {""precision"": 0.3902439024390244, ""recall"": 0.64, ""f1-score"": 0.48484848484848486, ""support"": 25.0}, ""L3"": {""precision"": 1.0, ""recall"": 0.15789473684210525, ""f1-score"": 0.2727272727272727, ""support"": 19.0}, ""accuracy"": 0.46153846153846156, ""macro avg"": {""precision"": 0.6380178087495161, ""recall"": 0.4405680868838764, ""f1-score"": 0.4271284271284271, ""support"": 65.0}, ""weighted avg"": {""precision"": 0.6116322701688556, ""recall"": 0.46153846153846156, ""f1-score"": 0.43543123543123546, ""support"": 65.0}}"
S25,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3333333333333333,0.3333333333333333,0.16835016835016836,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [24, 1, 0]]","{""L0"": {""precision"": 0.33783783783783783, ""recall"": 1.0, ""f1-score"": 0.5050505050505051, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.11261261261261261, ""recall"": 0.3333333333333333, ""f1-score"": 0.16835016835016836, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.11261261261261261, ""recall"": 0.3333333333333333, ""f1-score"": 0.16835016835016836, ""support"": 75.0}}"
S26,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3333333333333333,0.3333333333333333,0.16666666666666666,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [25, 0, 0]]","{""L0"": {""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1-score"": 0.5, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.11111111111111109, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}}"
S27,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3333333333333333,0.3333333333333333,0.16666666666666666,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [25, 0, 0]]","{""L0"": {""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1-score"": 0.5, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.11111111111111109, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}}"
S28,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3333333333333333,0.3333333333333333,0.16666666666666666,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [25, 0, 0]]","{""L0"": {""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1-score"": 0.5, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.11111111111111109, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}}"
S29,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3333333333333333,0.3333333333333333,0.16666666666666666,"[""L0"", ""L2"", ""L3""]","[[0, 25, 0], [0, 25, 0], [0, 25, 0]]","{""L0"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L2"": {""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1-score"": 0.5, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.1111111111111111, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.11111111111111109, ""recall"": 0.3333333333333333, ""f1-score"": 0.16666666666666666, ""support"": 75.0}}"
S30,"[""rri_norm"", ""hr_norm""]",1262,75,"[""L0"", ""L2"", ""L3""]","[""L0"", ""L2"", ""L3""]",0.3333333333333333,0.3333333333333333,0.16835016835016836,"[""L0"", ""L2"", ""L3""]","[[25, 0, 0], [25, 0, 0], [24, 1, 0]]","{""L0"": {""precision"": 0.33783783783783783, ""recall"": 1.0, ""f1-score"": 0.5050505050505051, ""support"": 25.0}, ""L2"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""L3"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 25.0}, ""accuracy"": 0.3333333333333333, ""macro avg"": {""precision"": 0.11261261261261261, ""recall"": 0.3333333333333333, ""f1-score"": 0.16835016835016836, ""support"": 75.0}, ""weighted avg"": {""precision"": 0.11261261261261261, ""recall"": 0.3333333333333333, ""f1-score"": 0.16835016835016836, ""support"": 75.0}}"
